,fpx,fpy,fpz,fvx,fvy,fvz
1.0,-1.213066,7.743498,-2.208708e-08,0.01561326,0.01238632,7.826866e-08
2.0,305.484,-154.5073,-1.35898e-05,0.02130973,0.09668773,1.13497e-06
3.0,-166.1924,7275.869,-6.767836e-05,0.1104614,0.09806404,4.456677e-08
4.0,-286.8821,10809.31,-0.0001024988,0.1781222,0.1149316,4.145145e-08
5.0,479.9791,10038.17,-0.000108895,0.2245619,0.1293622,2.688453e-08
6.0,770.9798,10060.95,-0.0001159386,0.2454436,0.1232752,4.341966e-08
7.0,904.4532,11539.86,-0.0001118158,0.2796355,0.1261923,4.755447e-08
8.0,1009.687,12230.16,-9.735833e-05,0.2974662,0.1255807,5.388909e-08
9.0,955.6235,13592.3,-7.392657e-05,0.3120805,0.1262944,5.735747e-08
10.0,901.7622,14744.47,-4.55202e-05,0.3217681,0.1272076,6.271332e-08
11.0,851.7479,15497.42,-1.312757e-05,0.3262532,0.1261366,6.667852e-08
12.0,827.5797,15975.28,1.848863e-05,0.3276146,0.1254682,7.241334e-08
13.0,800.9953,16276.13,4.734458e-05,0.3248186,0.1241735,7.648277e-08
14.0,764.2892,16520.99,7.214195e-05,0.3189922,0.1231765,7.999888e-08
15.0,705.0609,16777.45,9.232576e-05,0.3101632,0.1223007,8.25111e-08
16.0,638.5908,17011.72,0.0001077222,0.2996716,0.1215325,8.512232e-08
17.0,574.9547,17181.91,0.0001186579,0.2825998,0.1205527,8.940343e-08
18.0,504.3723,17353.28,0.0001250987,0.2656035,0.1214532,9.287646e-08
19.0,454.9827,17368.81,0.0001281324,0.2509595,0.1239029,9.66634e-08
20.0,426.4361,17259.12,0.0001288944,0.2283037,0.1241606,1.017423e-07
21.0,432.61,16976.3,0.0001282629,0.2130068,0.1295859,1.066891e-07
22.0,474.4231,16570.16,0.0001262504,0.1980099,0.1366076,1.123875e-07
23.0,575.7949,15916.84,0.0001231524,0.1853972,0.146759,1.190273e-07
24.0,715.7129,15166.89,0.0001191602,0.1747584,0.1564841,1.255913e-07
25.0,858.6632,14507.55,0.0001144919,0.1710559,0.1682722,1.319978e-07
26.0,962.2398,14112.72,0.0001100679,0.1687403,0.1793583,1.376629e-07
