Iter,fpx,fpy,fpz,fvx,fvy,fvz
76.0,-97273.88,420.5622,1.697114e-13,2.313557,1.142478,-9.573092e-16
77.0,-97282.52,413.2087,1.697117e-13,2.30592,1.112495,-9.521094e-16
78.0,-97290.16,406.4853,1.697109e-13,2.298355,1.08532,-9.487749e-16
79.0,-97299.46,401.3626,1.69711e-13,2.291757,1.060302,-9.47646e-16
80.0,-97308.01,396.5213,1.697096e-13,2.28648,1.037108,-9.470254e-16
81.0,-97317.21,393.4196,1.697086e-13,2.282234,1.015759,-9.495723e-16
82.0,-97326.59,390.9247,1.69707e-13,2.278633,0.9960127,-9.541435e-16
83.0,-97336.44,388.6364,1.697053e-13,2.275481,0.9770937,-9.576971e-16
84.0,-97344.16,391.7607,1.697036e-13,2.272812,0.9592185,-9.608321e-16
85.0,-97351.89,394.9091,1.697017e-13,2.270673,0.9421244,-9.671711e-16
86.0,-97360.64,394.9756,1.69699e-13,2.268385,0.9256418,-9.71511e-16
87.0,-97365.99,403.7441,1.696972e-13,2.266553,0.9106059,-9.720426e-16
88.0,-97372.49,408.3365,1.696951e-13,2.264543,0.8959911,-9.720885e-16
89.0,-97378.69,412.7025,1.696924e-13,2.261605,0.8836666,-9.701836e-16
90.0,-97381.93,425.1879,1.696913e-13,2.25778,0.8722422,-9.685793e-16
91.0,-97386.9,427.1682,1.696881e-13,2.253436,0.8605139,-9.749804e-16
92.0,-97389.01,436.0176,1.696853e-13,2.249996,0.8469046,-9.781284e-16
93.0,-97392.49,444.7818,1.696843e-13,2.247762,0.8322397,-9.808498e-16
94.0,-97395.31,444.7909,1.696794e-13,2.246994,0.8173345,-9.900526e-16
95.0,-97397.12,456.8167,1.69679e-13,2.246765,0.8036821,-9.954534e-16
96.0,-97400.58,454.3238,1.696748e-13,2.2467,0.789977,-9.826687e-16
97.0,-97403.31,458.6881,1.696728e-13,2.246191,0.7776911,-9.805516e-16
98.0,-97405.13,462.3299,1.69671e-13,2.24546,0.768117,-9.766954e-16
99.0,-97407.34,458.3449,1.696659e-13,2.244095,0.7601148,-9.782444e-16
100.0,-97410.62,468.0294,1.696674e-13,2.241693,0.7528025,-9.759997e-16
101.0,-97412.87,459.5908,1.696606e-13,2.240874,0.7446013,-9.742939e-16
102.0,-97415.54,468.3407,1.696607e-13,2.239474,0.7373266,-9.747201e-16
103.0,-97418.46,468.2011,1.696577e-13,2.238501,0.7306763,-9.753721e-16
104.0,-97421.44,467.6622,1.696539e-13,2.237072,0.7249176,-9.759584e-16
105.0,-97424.89,475.2467,1.696539e-13,2.235465,0.719065,-9.760285e-16
106.0,-97427.98,470.2995,1.696483e-13,2.234013,0.7123,-9.772833e-16
107.0,-97433.0,480.9497,1.696505e-13,2.230848,0.7058113,-9.792216e-16
108.0,-97437.41,476.3455,1.696458e-13,2.227287,0.6982436,-9.825056e-16
109.0,-97442.0,481.7452,1.696451e-13,2.221769,0.690915,-9.806695e-16
110.0,-97447.74,485.4467,1.696446e-13,2.215577,0.6829955,-9.776195e-16
111.0,-97452.59,485.0193,1.696417e-13,2.207944,0.6753199,-9.778534e-16
112.0,-97457.24,495.4507,1.696435e-13,2.198887,0.6682394,-9.766888e-16
113.0,-97462.97,489.0834,1.696395e-13,2.188861,0.661003,-9.762328e-16
114.0,-97467.34,498.6781,1.696412e-13,2.176063,0.6548809,-9.771776e-16
115.0,-97473.25,499.5292,1.696408e-13,2.162069,0.6480442,-9.780028e-16
116.0,-97478.88,495.3038,1.696393e-13,2.146008,0.6411029,-9.793811e-16
117.0,-97482.2,508.0473,1.69642e-13,2.127174,0.6352623,-9.804567e-16
118.0,-97488.8,494.8205,1.696388e-13,2.107252,0.6291717,-9.812197e-16
119.0,-97492.98,505.3761,1.696422e-13,2.084516,0.6247123,-9.814657e-16
120.0,-97496.14,501.1647,1.6964e-13,2.060824,0.6206975,-9.804073e-16
121.0,-97503.96,497.0352,1.696412e-13,2.035565,0.616996,-9.758421e-16
122.0,-97506.33,503.6202,1.696426e-13,2.009104,0.6143409,-9.857496e-16
123.0,-97512.74,495.5565,1.696407e-13,1.982561,0.611648,-9.875137e-16
124.0,-97516.84,500.8155,1.696431e-13,1.954438,0.6100837,-9.899905e-16
125.0,-97523.78,496.6876,1.69643e-13,1.926255,0.6085834,-9.919079e-16
126.0,-97527.04,498.5738,1.696424e-13,1.89783,0.6078407,-9.937499e-16
127.0,-97535.47,499.9184,1.69646e-13,1.868967,0.6073832,-9.947402e-16
128.0,-97537.15,501.1781,1.696429e-13,1.840916,0.6073869,-9.984531e-16
129.0,-97545.87,505.6229,1.696476e-13,1.812171,0.6077209,-1.003488e-15
130.0,-97549.74,505.4457,1.696459e-13,1.784296,0.6078708,-1.009074e-15
131.0,-97553.91,512.8464,1.69647e-13,1.755786,0.6083824,-1.011036e-15
132.0,-97560.92,515.5969,1.696497e-13,1.727654,0.6083688,-1.013004e-15
133.0,-97562.42,519.6832,1.696477e-13,1.699635,0.6084432,-1.014766e-15
134.0,-97568.69,525.9171,1.696509e-13,1.671174,0.608162,-1.017931e-15
135.0,-97571.13,528.1108,1.696497e-13,1.643262,0.6078653,-1.023091e-15
136.0,-97575.27,534.0573,1.696509e-13,1.615123,0.6079911,-1.030611e-15
137.0,-97579.68,535.3555,1.696513e-13,1.587658,0.6079819,-1.039291e-15
138.0,-97581.02,539.7317,1.696503e-13,1.560474,0.608533,-1.038389e-15
139.0,-97587.12,541.0905,1.69652e-13,1.533645,0.6091483,-1.035242e-15
140.0,-97587.88,543.6435,1.696503e-13,1.507675,0.6102853,-1.032913e-15
141.0,-97591.95,546.8924,1.69651e-13,1.482243,0.6117723,-1.030773e-15
142.0,-97597.55,541.5848,1.696509e-13,1.457883,0.6129863,-1.029647e-15
143.0,-97594.96,553.844,1.696491e-13,1.434269,0.6154122,-1.029136e-15
144.0,-97603.86,544.5646,1.696503e-13,1.411787,0.6170188,-1.028125e-15
145.0,-97605.22,547.2296,1.696496e-13,1.390123,0.6193779,-1.027863e-15
146.0,-97603.67,556.8522,1.696476e-13,1.369039,0.6227246,-1.028021e-15
147.0,-97614.34,542.4821,1.696495e-13,1.348852,0.6251354,-1.027559e-15
148.0,-97609.58,556.108,1.696469e-13,1.329449,0.6292623,-1.029214e-15
149.0,-97614.83,551.1681,1.696464e-13,1.310578,0.6329932,-1.025811e-15
150.0,-97621.49,543.6404,1.696478e-13,1.292824,0.636493,-1.026799e-15
151.0,-97614.62,559.2462,1.696435e-13,1.275056,0.641649,-1.02662e-15
152.0,-97626.31,542.0025,1.696462e-13,1.258492,0.6452804,-1.023959e-15
153.0,-97625.04,545.9814,1.696443e-13,1.242559,0.6500317,-1.023666e-15
154.0,-97623.56,550.1843,1.696416e-13,1.226912,0.6552949,-1.021967e-15
155.0,-97635.62,531.9359,1.69645e-13,1.21259,0.6593319,-1.019768e-15
156.0,-97627.73,544.1541,1.696399e-13,1.198281,0.6651644,-1.019588e-15
157.0,-97636.98,530.6377,1.696419e-13,1.184742,0.6700043,-1.018078e-15
158.0,-97640.13,522.3494,1.696412e-13,1.172121,0.6750905,-1.017338e-15
159.0,-97635.28,531.6607,1.696377e-13,1.159121,0.6816072,-1.017858e-15
160.0,-97648.95,507.8388,1.696413e-13,1.14738,0.686506,-1.016923e-15
161.0,-97643.08,513.3818,1.69637e-13,1.135933,0.6929786,-1.018952e-15
162.0,-97648.77,506.7277,1.696375e-13,1.124074,0.6992404,-1.017941e-15
163.0,-97655.51,489.0515,1.696378e-13,1.114068,0.7046767,-1.017387e-15
164.0,-97649.68,500.494,1.696344e-13,1.10298,0.7119467,-1.017174e-15
165.0,-97662.38,477.4397,1.696371e-13,1.092967,0.7176154,-1.014225e-15
166.0,-97658.76,479.5241,1.696343e-13,1.083255,0.7245933,-1.016588e-15
167.0,-97662.78,476.1537,1.696342e-13,1.072582,0.7317448,-1.015684e-15
168.0,-97670.06,458.0775,1.69635e-13,1.063637,0.7378824,-1.014783e-15
169.0,-97665.47,468.3238,1.696325e-13,1.053506,0.7455812,-1.013194e-15
170.0,-97677.64,446.7231,1.696352e-13,1.044367,0.7518044,-1.010414e-15
171.0,-97671.48,454.5863,1.69632e-13,1.035063,0.7594956,-1.011189e-15
172.0,-97681.97,440.4478,1.696346e-13,1.025635,0.766283,-1.009046e-15
173.0,-97678.89,440.5171,1.696322e-13,1.016922,0.7736625,-1.011034e-15
174.0,-97684.72,433.8886,1.696337e-13,1.007905,0.7809595,-1.010169e-15
175.0,-97687.96,426.8948,1.696335e-13,0.9991416,0.7881179,-1.010451e-15
176.0,-97686.92,427.2585,1.696329e-13,0.9907521,0.7957876,-1.008942e-15
177.0,-97696.23,415.3252,1.696353e-13,0.9818546,0.8028782,-1.005045e-15
178.0,-97691.65,417.7419,1.696328e-13,0.9737812,0.8107747,-1.002133e-15
179.0,-97699.99,408.2303,1.696356e-13,0.9651707,0.8181418,-9.980607e-16
180.0,-97699.06,406.0019,1.69634e-13,0.9569701,0.8257074,-9.983721e-16
181.0,-97700.58,404.8369,1.696349e-13,0.9488929,0.8334595,-9.98536e-16
182.0,-97708.76,394.5877,1.696373e-13,0.9401433,0.8406591,-1.000463e-15
183.0,-97703.26,399.3613,1.696349e-13,0.9323774,0.8486222,-1.001086e-15
184.0,-97713.75,389.6314,1.696393e-13,0.9234135,0.8559943,-1.000412e-15
185.0,-97709.49,390.7585,1.696364e-13,0.9156696,0.863508,-1.003184e-15
186.0,-97712.83,390.6238,1.696389e-13,0.9074347,0.8708776,-1.001877e-15
187.0,-97719.53,382.4931,1.696413e-13,0.8989854,0.877577,-9.98397e-16
188.0,-97714.41,388.6804,1.696397e-13,0.8912878,0.8847921,-1.000219e-15
189.0,-97724.08,381.3087,1.696444e-13,0.8822808,0.8910857,-1.000532e-15
190.0,-97718.46,383.6202,1.69641e-13,0.8746628,0.8975928,-9.997465e-16
191.0,-97721.26,385.2464,1.696438e-13,0.8661466,0.9041477,-1.005766e-15
192.0,-97728.45,376.357,1.696469e-13,0.8575589,0.9095316,-1.009454e-15
193.0,-97719.97,386.0193,1.696437e-13,0.8495815,0.9155726,-1.010135e-15
194.0,-97729.69,378.5982,1.696489e-13,0.840082,0.9207935,-1.013803e-15
195.0,-97725.49,380.0118,1.69647e-13,0.8320151,0.9259434,-1.021085e-15
196.0,-97725.41,382.9024,1.696477e-13,0.8233606,0.9311384,-1.026376e-15
197.0,-97732.32,374.7887,1.696514e-13,0.8144638,0.9357347,-1.027681e-15
198.0,-97723.02,381.4476,1.696468e-13,0.8065722,0.9408508,-1.028386e-15
199.0,-97731.93,376.2128,1.696526e-13,0.7971893,0.9453756,-1.026879e-15
200.0,-97726.69,375.9626,1.696499e-13,0.7898296,0.9497843,-1.025763e-15
201.0,-97726.96,376.306,1.696506e-13,0.7820498,0.9540813,-1.023436e-15
202.0,-97730.86,371.052,1.696531e-13,0.7743237,0.9580113,-1.020565e-15
203.0,-97725.1,367.8114,1.696491e-13,0.7682824,0.9620586,-1.017317e-15
204.0,-97730.75,367.5037,1.696544e-13,0.7602317,0.9665603,-1.012183e-15
205.0,-97725.17,364.3999,1.696504e-13,0.7539493,0.9710489,-1.0117e-15
206.0,-97727.97,356.8612,1.696518e-13,0.7478851,0.9750731,-1.010073e-15
207.0,-97727.97,356.8299,1.696531e-13,0.7413381,0.9796841,-1.005375e-15
208.0,-97725.7,345.4413,1.696498e-13,0.7371541,0.9835401,-1.001418e-15
209.0,-97729.83,344.8219,1.696545e-13,0.7313722,0.9879232,-9.940165e-16
210.0,-97725.41,335.7929,1.696498e-13,0.727571,0.9920507,-9.864006e-16
211.0,-97730.33,327.894,1.696537e-13,0.7233992,0.9959635,-9.729728e-16
212.0,-97728.38,324.7764,1.696523e-13,0.7191782,1.000425,-9.592817e-16
213.0,-97728.37,311.3807,1.696504e-13,0.7169449,1.003814,-9.333204e-16
214.0,-97730.99,308.89,1.696533e-13,0.7134994,1.007689,-9.168771e-16
215.0,-97728.54,296.1799,1.696491e-13,0.7118305,1.011047,-9.39972e-16
216.0,-97732.8,289.4318,1.696525e-13,0.7093469,1.014801,-9.553086e-16
217.0,-97730.42,281.7151,1.696492e-13,0.7074009,1.018716,-9.648272e-16
218.0,-97733.57,268.8371,1.696501e-13,0.7069598,1.021973,-9.691521e-16
219.0,-97732.61,265.6717,1.696491e-13,0.7056584,1.026128,-9.730884e-16
220.0,-97733.75,250.3674,1.696476e-13,0.7065395,1.029442,-9.761636e-16
221.0,-97735.67,245.5493,1.696489e-13,0.7064609,1.033582,-9.787084e-16
222.0,-97733.92,234.9679,1.696455e-13,0.7072732,1.037735,-9.81697e-16
223.0,-97738.55,223.2533,1.69648e-13,0.7087755,1.041615,-9.84186e-16
224.0,-97736.39,218.096,1.696451e-13,0.7096064,1.046439,-9.855318e-16
225.0,-97738.65,204.9691,1.696453e-13,0.7119523,1.050813,-9.849204e-16
226.0,-97740.08,197.3352,1.696453e-13,0.7137579,1.055808,-9.878302e-16
227.0,-97739.93,187.934,1.696439e-13,0.7162995,1.060954,-9.914631e-16
228.0,-97742.6,177.4378,1.696445e-13,0.7192982,1.06629,-9.953109e-16
229.0,-97742.58,168.8771,1.696431e-13,0.7223289,1.072074,-9.994725e-16
230.0,-97745.27,158.3138,1.69644e-13,0.7259489,1.077806,-1.003136e-15
231.0,-97745.31,150.8798,1.696429e-13,0.7294922,1.08402,-1.00509e-15
232.0,-97746.94,140.2532,1.696427e-13,0.7336275,1.09022,-1.000323e-15
233.0,-97749.63,131.7947,1.696438e-13,0.7378451,1.096669,-1.000466e-15
234.0,-97750.08,122.2036,1.696425e-13,0.7425631,1.103054,-1.002486e-15
235.0,-97751.41,116.0141,1.696433e-13,0.74731,1.109503,-1.005033e-15
236.0,-97753.62,105.9875,1.696434e-13,0.7526911,1.11554,-1.004582e-15
237.0,-97754.67,99.74036,1.696439e-13,0.7579862,1.121497,-1.003927e-15
238.0,-97756.12,92.17364,1.696442e-13,0.7639785,1.126822,-1.002768e-15
239.0,-97757.11,86.49808,1.696444e-13,0.7700258,1.13166,-1.001607e-15
240.0,-97757.84,82.69653,1.696456e-13,0.7761781,1.135977,-1.002632e-15
241.0,-97760.24,74.54495,1.696464e-13,0.783183,1.139099,-1.003326e-15
242.0,-97758.75,76.21939,1.696469e-13,0.7893453,1.142399,-1.005278e-15
243.0,-97760.99,67.44464,1.696477e-13,0.7971693,1.143935,-1.004684e-15
244.0,-97760.33,71.00983,1.696494e-13,0.8038061,1.14564,-1.005489e-15
245.0,-97761.75,65.55127,1.696505e-13,0.8112632,1.14619,-1.00386e-15
246.0,-97761.25,68.20948,1.696514e-13,0.8182546,1.146462,-1.003402e-15
247.0,-97761.16,66.98413,1.696524e-13,0.8253254,1.14593,-1.000486e-15
248.0,-97762.14,67.90643,1.696541e-13,0.832441,1.144731,-9.978386e-16
249.0,-97761.95,70.02261,1.696554e-13,0.8390949,1.143454,-9.957426e-16
250.0,-97762.65,69.15862,1.696562e-13,0.8461347,1.141349,-9.95691e-16
251.0,-97762.34,75.59081,1.69658e-13,0.8520075,1.139338,-9.965453e-16
252.0,-97763.13,73.6135,1.696587e-13,0.8585455,1.136652,-9.9582e-16
253.0,-97763.73,80.49007,1.69661e-13,0.8638913,1.13427,-9.960798e-16
