,fpx,fpy,fpz,fvx,fvy,fvz
77.0,756.9851,6462.269,8.592028e-05,4.854712,1.835627,1.371466e-06
78.0,741.1328,6548.72,8.638086e-05,4.808804,1.82722,1.381747e-06
79.0,728.122,6604.604,8.702303e-05,4.749943,1.813805,1.388554e-06
80.0,716.5299,6640.203,8.778374e-05,4.679779,1.795994,1.390993e-06
81.0,705.224,6664.745,8.858874e-05,4.600026,1.77444,1.389703e-06
82.0,694.5893,6678.217,8.93972e-05,4.51289,1.74971,1.385832e-06
83.0,685.3482,6676.08,9.020476e-05,4.419977,1.721841,1.379148e-06
84.0,678.6377,6652.342,9.102721e-05,4.323095,1.691248,1.370244e-06
85.0,672.966,6617.752,9.182573e-05,4.224127,1.658655,1.357522e-06
86.0,665.5433,6588.498,9.255622e-05,4.124302,1.624214,1.339347e-06
87.0,652.7656,6583.427,9.320234e-05,4.02395,1.587631,1.313848e-06
88.0,634.2175,6606.561,9.377358e-05,3.923731,1.549815,1.284896e-06
89.0,612.8702,6646.757,9.423134e-05,3.825221,1.512711,1.258549e-06
90.0,592.2033,6690.298,9.450011e-05,3.729492,1.477527,1.23704e-06
91.0,577.0265,6718.725,9.451606e-05,3.637898,1.445449,1.223395e-06
92.0,571.6942,6719.756,9.418677e-05,3.552423,1.41804,1.219342e-06
93.0,585.2178,6667.598,9.337364e-05,3.476669,1.398629,1.228747e-06
94.0,590.8047,6641.161,9.236173e-05,3.397645,1.37021,1.190699e-06
95.0,609.3427,6593.412,9.125666e-05,3.325215,1.347971,1.181323e-06
96.0,630.2387,6530.99,8.999104e-05,3.252249,1.325093,1.157238e-06
97.0,645.0338,6509.159,8.878853e-05,3.177266,1.299444,1.122103e-06
98.0,662.0885,6489.966,8.762501e-05,3.100653,1.275283,1.098275e-06
99.0,668.3683,6517.005,8.656892e-05,3.017264,1.247383,1.060538e-06
100.0,664.83,6600.621,8.572893e-05,2.927244,1.217625,1.025312e-06
101.0,657.9028,6695.987,8.515095e-05,2.828248,1.185697,9.96482e-07
102.0,653.1417,6767.951,8.490155e-05,2.716639,1.149623,9.722057e-07
103.0,649.6499,6814.806,8.499832e-05,2.590414,1.107658,9.470502e-07
104.0,648.4178,6836.924,8.53763e-05,2.449403,1.059938,9.234554e-07
105.0,647.5917,6841.736,8.595488e-05,2.293733,1.005421,8.975549e-07
106.0,646.0063,6836.783,8.668712e-05,2.125134,0.9436994,8.678798e-07
107.0,645.5205,6813.845,8.754607e-05,1.947049,0.8755758,8.349866e-07
108.0,647.6444,6765.546,8.84962e-05,1.764013,0.8023854,7.974076e-07
109.0,649.5472,6708.06,8.947815e-05,1.581051,0.7257084,7.512812e-07
110.0,649.2181,6654.587,9.045595e-05,1.403479,0.6478494,6.970417e-07
111.0,645.2582,6615.233,9.138141e-05,1.236247,0.5714607,6.362332e-07
112.0,637.8377,6591.75,9.221355e-05,1.08335,0.4989677,5.717474e-07
113.0,627.447,6582.473,9.292791e-05,0.9475059,0.4322736,5.058059e-07
114.0,614.5375,6583.295,9.35582e-05,0.8301312,0.3726066,4.40294e-07
115.0,597.2509,6601.549,9.411192e-05,0.7313437,0.3207311,3.764623e-07
116.0,575.3072,6645.141,9.45547e-05,0.6506307,0.2771446,3.180077e-07
117.0,549.855,6708.282,9.484652e-05,0.5865339,0.241717,2.666541e-07
118.0,523.2215,6781.435,9.497244e-05,0.5371563,0.2138689,2.234089e-07
119.0,499.6237,6847.218,9.491062e-05,0.5003993,0.1928551,1.88788e-07
120.0,484.0119,6891.402,9.455587e-05,0.4742348,0.1779043,1.625288e-07
121.0,481.7677,6899.002,9.377783e-05,0.4567173,0.1680879,1.435786e-07
122.0,491.1958,6871.586,9.261568e-05,0.4455298,0.1618509,1.290071e-07
123.0,496.4356,6875.952,9.123372e-05,0.4383401,0.1575265,1.164373e-07
124.0,506.1682,6881.366,8.980445e-05,0.4345134,0.1550733,1.087594e-07
125.0,515.0825,6894.419,8.83821e-05,0.4324497,0.1537251,1.033855e-07
126.0,523.7504,6926.22,8.697146e-05,0.4317512,0.1532523,1.002414e-07
127.0,528.8306,6978.108,8.564018e-05,0.4316117,0.1530333,9.81051e-08
128.0,533.9839,7028.735,8.454867e-05,0.4318386,0.1529634,9.684709e-08
129.0,542.3638,7055.283,8.379147e-05,0.4322754,0.1529764,9.617725e-08
130.0,551.011,7069.21,8.335837e-05,0.4327124,0.1529081,9.563558e-08
131.0,559.9541,7068.659,8.326734e-05,0.4330779,0.15275,9.520908e-08
132.0,569.8361,7049.919,8.347861e-05,0.4333539,0.1525499,9.494205e-08
133.0,580.5642,7013.212,8.393207e-05,0.4334924,0.1523343,9.475797e-08
134.0,592.0525,6959.153,8.459078e-05,0.4334934,0.1520906,9.458963e-08
135.0,601.6002,6901.276,8.540291e-05,0.4332892,0.1517513,9.428111e-08
136.0,608.5198,6845.989,8.632836e-05,0.4329464,0.1513594,9.393239e-08
137.0,613.2442,6792.404,8.731543e-05,0.4324968,0.150964,9.361791e-08
138.0,615.4595,6742.862,8.832194e-05,0.4319355,0.1505467,9.327835e-08
139.0,614.0481,6703.723,8.932119e-05,0.4312453,0.1500696,9.284519e-08
140.0,609.2917,6673.265,9.033076e-05,0.4304707,0.1495273,9.234777e-08
141.0,602.2223,6647.282,9.132346e-05,0.4295986,0.1489915,9.189718e-08
142.0,592.9058,6629.1,9.223281e-05,0.4286915,0.1484683,9.150293e-08
143.0,580.1178,6626.219,9.30059e-05,0.4277001,0.1479332,9.105796e-08
144.0,564.1463,6638.206,9.36468e-05,0.4266415,0.1473808,9.058738e-08
145.0,544.1862,6671.467,9.413748e-05,0.4255423,0.1468398,9.006697e-08
146.0,520.1358,6729.183,9.445311e-05,0.4244409,0.14633,8.95574e-08
147.0,493.8285,6800.366,9.461387e-05,0.4233139,0.145822,8.911446e-08
148.0,467.788,6876.03,9.460378e-05,0.4222766,0.1454312,8.887785e-08
149.0,436.7465,6995.266,9.426394e-05,0.4214508,0.1452672,8.85792e-08
150.0,424.0854,7031.244,9.379108e-05,0.4210835,0.145545,8.96877e-08
151.0,421.2289,7043.345,9.292958e-05,0.4212928,0.1462171,9.081317e-08
152.0,421.2696,7054.499,9.178372e-05,0.4215278,0.1468029,9.139254e-08
153.0,420.7623,7091.168,9.046691e-05,0.422079,0.1473448,9.172572e-08
154.0,424.6771,7122.488,8.906949e-05,0.4229792,0.148015,9.236035e-08
155.0,431.0691,7151.438,8.763944e-05,0.4239545,0.1486921,9.286658e-08
156.0,440.5779,7177.091,8.623843e-05,0.4251102,0.149399,9.340722e-08
157.0,450.8828,7201.383,8.493471e-05,0.4261892,0.149982,9.372739e-08
158.0,463.855,7211.955,8.384771e-05,0.4272279,0.1504707,9.401689e-08
159.0,478.4413,7209.264,8.302166e-05,0.4281552,0.1508382,9.418212e-08
160.0,493.8821,7196.054,8.247738e-05,0.4289955,0.1510902,9.426505e-08
161.0,510.1714,7170.181,8.221343e-05,0.4297367,0.1512518,9.432202e-08
162.0,526.8085,7129.867,8.223969e-05,0.4303004,0.1512701,9.428322e-08
163.0,545.2123,7067.278,8.255996e-05,0.4307411,0.1512243,9.427288e-08
164.0,563.04,6993.571,8.311028e-05,0.4309922,0.1511026,9.415583e-08
165.0,593.9672,6815.942,8.414539e-05,0.4308211,0.1506887,9.43629e-08
166.0,594.7119,6814.871,8.489672e-05,0.4307468,0.1503801,9.312929e-08
