Iter,fpx,fpy,fpz,fvx,fvy,fvz
1.0,-0.06070029,88.37094,1.617828e-15,6.70855e-06,0.4718191,-4.725154e-18
2.0,0.02979142,34.81143,1.616557e-15,7.342512e-06,0.4714464,-5.070265e-18
3.0,0.035652,-3.836028,1.61573e-15,7.761628e-06,0.4709952,-5.093339e-18
4.0,0.00772842,-4.559004,1.615845e-15,7.538374e-06,0.4704959,-5.143642e-18
5.0,-0.01246147,2.246369,1.616218e-15,7.171711e-06,0.4698335,-5.235544e-18
6.0,-0.01365741,4.424324,1.616404e-15,6.183758e-06,0.4694063,-5.428016e-18
7.0,-0.001285688,4.219396,1.616427e-15,5.643415e-06,0.4698427,-5.399324e-18
8.0,0.003630347,3.721481,1.616389e-15,4.260232e-06,0.471423,-5.096364e-18
9.0,0.00903052,3.518735,1.616349e-15,2.320127e-06,0.4747974,-4.581554e-18
10.0,0.009645973,3.868531,1.616324e-15,-3.377326e-06,0.481217,-4.37705e-18
11.0,0.003937029,4.430589,1.616301e-15,-3.160958e-06,0.4911206,-5.27434e-18
12.0,5.167551e-05,4.810044,1.616268e-15,-2.403616e-06,0.5046116,-8.765953e-18
13.0,-0.003563229,4.852195,1.616225e-15,-1.40274e-06,0.5230254,-1.30123e-17
14.0,0.007026521,4.876932,1.616178e-15,-1.068507e-06,0.547024,-1.595685e-17
15.0,0.009481784,5.089049,1.616139e-15,1.314228e-06,0.5765584,-1.713173e-17
16.0,0.008222047,5.199803,1.616098e-15,3.79447e-06,0.6105929,-1.744578e-17
17.0,0.002320489,5.475778,1.616061e-15,8.993357e-06,0.6468613,-1.777576e-17
18.0,0.00451403,5.818232,1.616022e-15,1.176492e-05,0.6850002,-1.819578e-17
19.0,0.004607007,6.171747,1.615976e-15,2.374619e-05,0.7259904,-1.846813e-17
20.0,-0.01406918,6.628229,1.615966e-15,3.421214e-05,0.7690655,-1.793741e-17
21.0,-0.002001579,7.262355,1.615964e-15,4.392642e-05,0.8132591,-1.766771e-17
22.0,0.006671277,8.395745,1.615939e-15,0.0001275134,0.8591344,-1.77184e-17
23.0,-0.002461591,9.58356,1.616e-15,0.000186137,0.9084316,-1.902938e-17
24.0,-0.003307046,10.81402,1.616048e-15,0.0002522855,0.9616404,-2.033027e-17
25.0,0.007260872,10.14662,1.616063e-15,0.0003275058,1.024401,-2.183863e-17
26.0,0.0140013,10.24058,1.61609e-15,0.0004122934,1.099257,-2.347734e-17
27.0,-0.002247226,12.58252,1.616125e-15,0.0004858317,1.19298,-2.487503e-17
28.0,-0.002277314,14.26234,1.616155e-15,0.000573426,1.298536,-2.60658e-17
29.0,0.01303264,15.59617,1.616192e-15,0.000652732,1.429437,-2.711938e-17
30.0,0.09148772,17.50907,1.616248e-15,0.0007692409,1.58684,-2.81149e-17
31.0,0.02075484,19.33512,1.616306e-15,0.0009940809,1.765665,-2.919225e-17
32.0,0.006084072,20.5293,1.616363e-15,0.001039166,1.966918,-3.022239e-17
33.0,0.004233108,19.41999,1.616392e-15,0.001295433,2.191742,-3.107759e-17
34.0,-0.01897884,18.08463,1.616424e-15,0.001485129,2.432438,-3.14071e-17
35.0,0.02492023,16.61991,1.616458e-15,0.001887261,2.673662,-3.126163e-17
36.0,0.03266337,16.91316,1.616587e-15,0.001233994,2.906037,-3.169818e-17
37.0,0.03530984,19.95418,1.616763e-15,0.0005570531,3.121937,-3.308665e-17
38.0,0.01747226,24.01731,1.616935e-15,0.0001949321,3.330471,-3.483234e-17
39.0,0.01934788,24.49851,1.617029e-15,0.001309418,3.493238,-3.540475e-17
40.0,-0.01208418,23.51237,1.617127e-15,5.445682e-06,3.634979,-3.774947e-17
41.0,-0.04965003,21.8064,1.617055e-15,-0.001059352,3.753148,-3.978055e-17
42.0,0.04116719,20.733,1.617015e-15,-0.001707465,3.858405,-3.991695e-17
43.0,0.02648191,20.52638,1.616851e-15,-0.002626529,3.940553,-4.114553e-17
44.0,-1.162994,17.89082,1.617541e-15,-0.001158161,4.007559,-4.029295e-17
45.0,-1.389561,21.42574,1.617622e-15,0.01410396,4.062173,-4.180101e-17
46.0,-1.972118,28.18176,1.618249e-15,0.03022785,4.08162,-4.22957e-17
47.0,-1.911649,36.13319,1.618425e-15,0.04045455,4.076239,-4.309096e-17
48.0,-0.9263775,44.06188,1.617928e-15,0.04197826,4.050958,-4.379519e-17
49.0,0.2734213,48.79614,1.616437e-15,0.03496081,4.011741,-4.581004e-17
50.0,1.262372,53.62746,1.614576e-15,0.02428586,3.958676,-4.717722e-17
51.0,1.227384,55.13951,1.612711e-15,0.02048047,3.897437,-4.927177e-17
52.0,1.368201,57.99947,1.611282e-15,0.02909206,3.832187,-5.050025e-17
53.0,1.753697,62.07709,1.610957e-15,0.03859368,3.766675,-5.104597e-17
54.0,1.890047,63.15,1.611767e-15,0.03162823,3.710087,-4.887812e-17
55.0,1.009339,63.66332,1.612696e-15,0.02364692,3.654222,-5.046813e-17
56.0,-0.3969346,66.83612,1.613513e-15,0.01876586,3.599482,-5.063493e-17
57.0,-2.776672,68.41492,1.613166e-15,0.03481724,3.563607,-6.517884e-17
58.0,-3.287244,77.25745,1.61277e-15,0.04185526,3.521781,-5.500828e-17
59.0,-2.490124,87.12014,1.611774e-15,0.0487425,3.478448,-5.373703e-17
60.0,-1.668507,98.92073,1.61072e-15,0.05983442,3.42649,-5.162186e-17
61.0,-0.6818399,102.4004,1.610444e-15,0.05000387,3.405644,-5.370651e-17
62.0,-0.1791659,105.436,1.610061e-15,0.04576516,3.368632,-5.25057e-17
63.0,-0.2133297,109.0486,1.609968e-15,0.04273432,3.321022,-5.149337e-17
64.0,-1.276681,112.7603,1.610285e-15,0.03755002,3.271725,-5.087063e-17
65.0,-2.009963,114.6408,1.61037e-15,0.03354916,3.227494,-5.091344e-17
66.0,-1.314092,115.6845,1.60999e-15,0.02444039,3.189719,-5.178695e-17
67.0,-0.7329866,119.388,1.609578e-15,0.01685343,3.16318,-5.249077e-17
68.0,0.9488679,122.1919,1.609058e-15,0.0121921,3.138066,-5.345946e-17
69.0,2.82542,120.9145,1.608998e-15,0.01175579,3.113382,-5.503056e-17
70.0,1.139636,121.4565,1.609444e-15,0.00730662,3.09331,-5.836209e-17
71.0,1.12175,124.6952,1.609637e-15,0.008335239,3.071692,-7.22223e-17
72.0,0.7445329,128.6444,1.609996e-15,-0.002163073,3.04602,-8.870591e-17
73.0,1.067853,132.4079,1.61036e-15,-0.002731662,3.017198,-5.571171e-17
74.0,1.152049,134.939,1.610548e-15,-0.006875214,2.987271,-4.522394e-17
75.0,0.9334872,135.7077,1.610493e-15,-0.008917613,2.953774,-3.591395e-17
76.0,0.657725,136.5951,1.610428e-15,-0.01548329,2.919772,-4.818194e-17
77.0,0.7130071,138.7333,1.609682e-15,-0.01413974,2.878185,-6.802259e-17
78.0,1.166278,141.583,1.609133e-15,-0.01882886,2.841632,-4.254858e-17
79.0,1.969475,143.2644,1.609019e-15,-0.0186662,2.809344,-3.950378e-17
80.0,1.28496,145.2552,1.609396e-15,-0.01241484,2.776462,-4.474686e-17
81.0,1.552776,145.2172,1.609759e-15,-0.006151043,2.744104,-4.775471e-17
82.0,1.085396,148.2275,1.610318e-15,0.002992563,2.712352,-5.444806e-17
83.0,-0.3449885,153.4878,1.610931e-15,0.006166502,2.686416,-5.637377e-17
84.0,-2.268908,160.1009,1.611605e-15,0.006422479,2.658731,-6.603133e-17
85.0,-3.232678,166.2334,1.612157e-15,0.006587026,2.624677,-3.946801e-17
86.0,-2.755385,174.0107,1.612266e-15,0.00260879,2.589442,-3.584501e-17
87.0,-2.734463,183.4681,1.611943e-15,-4.354935e-05,2.559648,-3.898636e-17
88.0,-3.173391,193.5974,1.611019e-15,-0.007186771,2.535081,-4.728134e-17
89.0,-3.70968,199.0048,1.610215e-15,-0.001322661,2.493726,-5.143409e-17
90.0,-3.937293,206.4982,1.609442e-15,-0.005190883,2.470278,-5.221492e-17
91.0,-4.959824,215.0438,1.608536e-15,-0.006388007,2.432307,-5.56548e-17
92.0,-4.690974,223.6798,1.607642e-15,-0.008609405,2.38556,-6.070028e-17
93.0,-4.591742,230.0553,1.606837e-15,-0.01446867,2.3382,-8.713944e-17
94.0,-3.934255,231.3677,1.606564e-15,-0.01886503,2.297921,-7.590101e-17
95.0,-4.494763,232.8128,1.607224e-15,-0.02618824,2.268009,-7.246309e-17
96.0,-4.646299,234.6124,1.608293e-15,-0.02894404,2.24485,-6.681699e-17
97.0,-3.930433,235.4812,1.609603e-15,-0.03981728,2.221898,-6.710312e-17
98.0,-3.364147,236.1073,1.61065e-15,-0.0512378,2.195203,-6.104726e-17
99.0,-3.470277,232.1526,1.611279e-15,-0.05908392,2.164044,-5.726964e-17
100.0,-4.390772,222.2248,1.611689e-15,-0.06272598,2.129754,-6.799198e-17
101.0,-5.690423,210.5549,1.612251e-15,-0.06018989,2.100572,-8.870474e-17
102.0,-6.693843,200.1354,1.612589e-15,-0.05657675,2.077572,-6.324479e-17
103.0,-7.444224,193.1984,1.61289e-15,-0.05365869,2.060036,-6.002529e-17
104.0,-8.093793,192.2965,1.613378e-15,-0.04987978,2.045469,-6.405145e-17
105.0,-8.091117,193.6236,1.613954e-15,-0.05179632,2.030834,-7.449774e-17
106.0,-8.369267,189.7788,1.614474e-15,-0.0515493,2.001525,-6.636429e-17
107.0,-8.199943,180.9045,1.615268e-15,-0.05400366,1.980327,-6.571971e-17
108.0,-8.604368,175.5326,1.615397e-15,-0.05556443,1.960398,-6.089586e-17
109.0,-9.378088,176.4277,1.615948e-15,-0.0559011,1.9375,-5.996568e-17
110.0,-9.416089,181.2102,1.616812e-15,-0.05714263,1.921082,-5.86348e-17
111.0,-9.585067,186.9353,1.617664e-15,-0.05898333,1.902772,-6.120089e-17
112.0,-9.515799,191.2007,1.618415e-15,-0.05721735,1.886552,-6.227202e-17
113.0,-8.774784,191.9378,1.619169e-15,-0.05143359,1.870448,-5.986486e-17
114.0,-7.876572,192.6022,1.619995e-15,-0.04945927,1.854251,-6.203212e-17
115.0,-6.466654,198.2392,1.620712e-15,-0.04522925,1.837868,-6.339897e-17
116.0,-4.432491,205.6401,1.621366e-15,-0.04051077,1.822031,-5.950922e-17
117.0,-3.31664,212.7972,1.621931e-15,-0.0377845,1.802342,-6.384638e-17
118.0,-2.71079,218.5343,1.622358e-15,-0.03496902,1.783501,-5.747457e-17
119.0,-2.079113,224.0019,1.622693e-15,-0.03238016,1.768317,-5.604625e-17
120.0,-2.001282,227.8599,1.62258e-15,-0.02834128,1.752183,-5.533904e-17
121.0,-1.826828,231.8617,1.622367e-15,-0.02199149,1.73812,-5.984249e-17
122.0,-1.640784,236.3757,1.622197e-15,-0.01588883,1.723719,-6.107689e-17
123.0,-2.054562,241.9718,1.622037e-15,-0.01895306,1.694718,-5.85208e-17
124.0,-2.970015,247.294,1.621801e-15,-0.002971403,1.679048,-5.110943e-17
125.0,-3.290019,251.2704,1.621609e-15,0.0007490899,1.663354,-5.341219e-17
126.0,-4.059788,255.3273,1.621344e-15,0.007189326,1.633276,-4.849706e-17
127.0,-4.91921,258.4488,1.620947e-15,0.008365617,1.617858,-6.382972e-17
128.0,-5.377283,261.2358,1.620783e-15,0.009529339,1.595295,-5.397106e-17
129.0,-6.801836,262.4272,1.620921e-15,0.00953204,1.566018,-6.041498e-17
130.0,-8.439148,264.4489,1.620742e-15,0.008617678,1.538208,-5.907351e-17
131.0,-10.1553,265.2326,1.6208e-15,0.004706616,1.509497,-6.588546e-17
132.0,-12.25486,267.373,1.620956e-15,0.001438162,1.484238,-6.286159e-17
133.0,-14.51938,269.6584,1.621131e-15,-0.003179273,1.460209,-6.427743e-17
134.0,-16.31468,272.1137,1.621259e-15,-0.007039049,1.439473,-6.181745e-17
135.0,-17.71123,274.9939,1.621376e-15,-0.01268458,1.420317,-6.220895e-17
136.0,-17.79371,276.7572,1.621546e-15,-0.01961282,1.40515,-6.057106e-17
137.0,-16.99713,277.3493,1.621787e-15,-0.02617844,1.388331,-6.641083e-17
