Iter,min,max
0,4.276107,5.498213
100,8.871893,458.2223
200,19.9606,299.0084
300,5.819829,280.7208
400,13.30524,246.3596
500,11.35121,244.7145
600,11.10665,229.9531
700,14.29886,222.5198
800,17.25942,220.4635
900,17.58814,228.4746
1000,11.44931,226.9878
1100,16.32786,229.4712
1200,18.8933,235.7859
1300,13.34867,236.6812
1400,16.51539,222.2868
1500,16.50396,220.4124
1600,10.8459,211.4941
1700,15.5899,226.7614
1800,16.64352,223.9236
1900,11.88296,224.794
2000,13.14018,220.5309
2100,1.859897,225.0852
2200,21.53784,222.9979
2300,7.056924,224.4034
2400,8.592232,225.8706
2500,24.76032,222.3983
2600,17.5336,226.9501
2700,18.99329,227.7199
2800,19.45452,230.9283
2900,13.91815,233.5557
3000,13.09559,231.443
3100,21.1331,230.5788
3200,18.6912,233.3588
3300,13.48285,233.3955
3400,21.23852,240.1666
3500,16.0755,237.3391
3600,19.16308,235.9559
3700,8.519095,239.1927
3800,8.714576,237.6313
3900,17.72273,236.5123
4000,19.75699,239.1047
4100,4.322855,235.9572
4200,8.300171,233.6644
4300,11.88944,240.2998
4400,11.16771,241.5307
4500,6.559478,235.7808
4600,10.0095,238.5783
4700,15.44532,232.4061
4800,17.59448,233.8334
4900,2.599023,234.3314
5000,15.39915,235.8489
5100,14.64593,236.9407
5200,5.573194,235.0457
5300,12.94664,229.925
5400,15.05326,239.9169
5500,15.38846,238.1271
5600,15.20814,244.503
5700,15.98809,252.9293
5800,15.64105,247.5306
5900,12.59245,236.6539
6000,1.414382,259.6469
6100,15.27833,265.4299
6200,13.78297,244.5481
6300,8.779515,249.5544
6400,0.9361144,289.2019
6500,15.56313,274.5643
6600,2.852289,256.205
6700,2.559963,293.3144
6800,10.68791,294.96
6900,26.47502,279.0292
7000,7.405776,260.6834
