Iter,min,max
0,4.331069,5.494433
100,0.3674421,174.0622
200,8.759048,181.7613
300,3.782227,193.9195
400,1.115662,206.5788
500,5.400581,217.7668
600,2.550935,225.251
700,5.202857,229.4779
800,5.972747,231.0277
900,6.988455,232.4028
1000,7.497874,233.0812
1100,7.298194,233.6381
1200,3.200763,232.8032
1300,1.840269,233.2456
1400,9.543375,233.5768
1500,9.889267,233.7434
1600,4.244867,234.3612
1700,8.025051,234.2189
