Iter,fpx,fpy,fpz,fvx,fvy,fvz
1.0,-0.2654334,42981.33,-6.638778e-15,-9.940881e-07,0.04174742,-1.3731e-18
2.0,-2.497445,8111.511,-2.513189e-15,-5.959516e-05,0.2516967,7.175899e-19
3.0,0.6264236,-3323.651,-1.156803e-15,-6.542753e-05,0.2292233,-1.294876e-18
4.0,2.373997,-1319.719,-1.32656e-15,-9.396874e-06,0.2234142,-1.255149e-18
5.0,0.2344994,279.6215,-1.496966e-15,1.390556e-05,0.2311281,-5.202469e-18
6.0,-0.306186,417.5811,-1.513729e-15,6.391542e-05,0.2503988,-2.529179e-18
7.0,-0.2570687,298.9454,-1.499908e-15,-0.0002074174,0.2852439,-4.177978e-18
8.0,-0.07635007,273.5036,-1.495433e-15,-0.0002461096,0.3407614,-8.488452e-18
9.0,-0.05906048,292.4823,-1.495931e-15,-0.0006370862,0.4178456,-1.238264e-17
10.0,-0.07117699,310.6239,-1.496528e-15,-0.0009899429,0.5096376,-1.701064e-17
11.0,-0.118369,323.3871,-1.496689e-15,-0.001120239,0.601343,-1.419211e-17
12.0,-0.1166272,334.5467,-1.496767e-15,-0.000562183,0.6857067,-6.87535e-18
13.0,-0.1091069,345.4403,-1.496876e-15,-1.070124e-06,0.755617,-4.136252e-18
14.0,-0.07714872,356.0632,-1.497026e-15,0.0004229424,0.8090671,-1.045741e-18
15.0,-0.08628484,366.2518,-1.497179e-15,0.0005960489,0.8464371,4.099291e-18
16.0,-0.1126338,376.1872,-1.497337e-15,0.0005890044,0.8708182,6.941628e-18
17.0,-0.1124201,385.8844,-1.497506e-15,0.0001190263,0.8869555,6.083244e-18
18.0,-0.1106132,395.3878,-1.49767e-15,-0.0003655092,0.8990045,4.383649e-18
19.0,-0.1253613,404.7205,-1.49785e-15,-0.0005717,0.9082964,1.212394e-17
20.0,-0.1231578,413.9277,-1.498034e-15,-0.0004695097,0.9158337,2.014509e-17
21.0,-0.1001315,423.0174,-1.498213e-15,-0.0003962402,0.9218869,1.554275e-17
22.0,-0.1126236,431.8225,-1.498398e-15,-0.0003302143,0.9271909,-7.183875e-18
23.0,-0.0855648,440.3398,-1.498571e-15,-0.0002906069,0.9322805,-1.578325e-17
24.0,-0.01456597,448.6419,-1.498756e-15,-0.0002764995,0.9375136,-1.421027e-17
25.0,-0.06130387,456.6197,-1.49891e-15,-0.0002683927,0.9430167,-1.488063e-17
26.0,-0.05986277,464.2821,-1.499069e-15,-0.0002815479,0.9487829,-7.422149e-18
27.0,-0.07466901,471.5443,-1.499221e-15,-0.0002715788,0.954788,7.453954e-18
28.0,-0.05876111,478.6453,-1.499374e-15,-0.0002856738,0.9612331,-7.876528e-18
29.0,-0.04674252,485.3547,-1.499522e-15,-0.0002702845,0.9678706,-1.208902e-17
30.0,-0.01236537,491.7371,-1.499665e-15,-0.000291665,0.9748455,-1.575166e-17
31.0,0.02353033,497.842,-1.499793e-15,-0.0002975382,0.982042,-1.781345e-17
32.0,-0.04873471,503.5902,-1.499929e-15,-0.0003184284,0.9895229,-1.323181e-17
33.0,0.002215552,509.1566,-1.500063e-15,-0.0003401936,0.9972126,-1.371353e-17
34.0,0.003735675,514.29,-1.50019e-15,-0.0003537045,1.005127,5.167548e-20
35.0,-0.01513666,519.0009,-1.500303e-15,-0.0003209843,1.013126,-1.366305e-18
36.0,-0.016318,523.3836,-1.500414e-15,-0.0003454917,1.021582,-4.492835e-18
37.0,-0.001329176,527.4251,-1.500522e-15,-0.0003733267,1.030166,-7.317353e-18
38.0,-0.03200744,531.0709,-1.500621e-15,-0.00035459,1.038836,-9.786657e-18
39.0,-0.04501048,534.4675,-1.500718e-15,-0.0003624368,1.047939,-8.58608e-18
40.0,-0.05546025,537.4811,-1.500814e-15,-0.0001998801,1.056815,8.45674e-19
41.0,-0.05134385,540.3851,-1.50091e-15,-0.0003012122,1.065719,-4.060627e-18
42.0,-0.05519536,542.9768,-1.500997e-15,-5.614699e-05,1.074614,-1.206468e-17
43.0,-0.06418314,545.3502,-1.501076e-15,-0.0001464466,1.083726,-9.406952e-18
44.0,-0.09117547,547.5251,-1.501149e-15,-0.0002685109,1.09322,-2.639893e-18
45.0,-0.1072634,549.4668,-1.501215e-15,-0.0002727675,1.102532,-2.340989e-18
46.0,-0.08029858,551.2505,-1.501278e-15,-0.0002837921,1.111944,5.946128e-18
47.0,-0.07577775,552.7369,-1.501346e-15,-0.0002911479,1.121661,-3.5234e-18
48.0,-0.07260469,554.1382,-1.501416e-15,-0.0002973667,1.131342,-2.921494e-18
49.0,-0.07521059,555.2104,-1.501478e-15,-6.012009e-05,1.141349,5.649899e-18
50.0,-0.072472,556.251,-1.501542e-15,-0.0005437854,1.150684,-6.743066e-18
51.0,-0.09297202,557.0963,-1.501605e-15,-0.0002963347,1.160993,-2.411376e-17
52.0,-0.07117304,557.6526,-1.50166e-15,-0.0002105992,1.170199,-2.247216e-17
53.0,-0.0909302,558.2075,-1.501708e-15,-0.0002740537,1.180599,-2.150187e-17
54.0,-0.0399276,558.3727,-1.501756e-15,-0.0003029927,1.190118,-2.395736e-17
55.0,-0.06379838,558.5083,-1.501804e-15,-0.0002468553,1.199512,-2.645537e-17
56.0,-0.05669874,558.5303,-1.50185e-15,-0.0001956598,1.209551,-3.888762e-17
57.0,-0.05114804,558.4351,-1.501903e-15,-0.0001742335,1.220168,-2.402144e-17
58.0,-0.04889256,558.05,-1.50195e-15,-0.0001567427,1.228687,-5.811196e-19
59.0,-0.03877559,557.7698,-1.501993e-15,-0.0002074563,1.238144,-1.639217e-17
60.0,-0.01108885,557.2096,-1.502038e-15,-0.0001922798,1.247009,-9.303289e-19
61.0,-0.0261588,556.4033,-1.502066e-15,-0.0002079704,1.257174,-1.623669e-17
62.0,-0.05833603,555.805,-1.502103e-15,-0.0002449183,1.266804,-2.220859e-17
63.0,0.007423807,554.9017,-1.502131e-15,-0.0002500831,1.275084,-1.125795e-17
64.0,0.0118821,553.7703,-1.502129e-15,-0.0002334652,1.285164,-2.36446e-17
65.0,0.009482303,552.8923,-1.502143e-15,-0.000195214,1.293809,-8.152154e-18
66.0,0.009215601,551.6167,-1.502172e-15,-0.0001718623,1.302869,-3.128379e-17
67.0,0.02411539,550.5201,-1.502194e-15,5.547093e-05,1.311315,-2.622126e-17
68.0,0.05726323,549.4046,-1.502218e-15,-7.407479e-05,1.31899,-3.336631e-17
69.0,0.06763858,548.068,-1.502244e-15,-1.095804e-05,1.328633,-3.493034e-17
70.0,0.1028081,546.865,-1.502263e-15,1.517899e-05,1.335959,-3.364479e-17
71.0,0.1319042,545.7432,-1.50228e-15,0.0002552597,1.342684,-3.27967e-17
72.0,0.1260383,544.483,-1.502302e-15,0.0001222136,1.351914,-2.481697e-17
73.0,0.08226291,543.2565,-1.502321e-15,0.000138149,1.35951,-2.244775e-17
74.0,0.07254908,541.917,-1.502348e-15,0.0001765818,1.367161,-2.106784e-17
75.0,0.1098885,540.5366,-1.502371e-15,4.107379e-06,1.376339,-2.173335e-17
76.0,0.1528474,539.3278,-1.502388e-15,0.0001669746,1.382788,-2.521076e-17
77.0,0.1927259,538.1763,-1.502393e-15,0.0001218308,1.392412,-2.566115e-17
78.0,0.1864517,537.2269,-1.50239e-15,-8.729114e-05,1.401144,-3.860127e-17
79.0,0.2156823,536.2027,-1.502374e-15,-8.154977e-05,1.408725,-4.526922e-17
80.0,0.2055289,535.0759,-1.502356e-15,9.887196e-05,1.416368,-3.504906e-17
81.0,0.2371619,533.8001,-1.502333e-15,0.0004416242,1.424977,-4.095163e-17
82.0,0.2730602,532.7637,-1.502322e-15,5.675406e-05,1.431918,-5.374773e-18
83.0,0.2314095,531.74,-1.502337e-15,7.986267e-06,1.440231,-3.717944e-17
84.0,0.2549276,530.4714,-1.502315e-15,6.081886e-05,1.447652,-2.69399e-17
85.0,0.2881772,529.3633,-1.502287e-15,0.0002200498,1.453803,-3.722142e-17
86.0,0.2863852,528.3863,-1.502278e-15,0.0002328995,1.460825,-3.963824e-17
87.0,0.2522601,527.2411,-1.502283e-15,0.0002507688,1.466597,-4.122815e-17
88.0,0.3497548,526.175,-1.502307e-15,0.0003527914,1.472091,-2.717401e-17
89.0,0.3570594,525.338,-1.502334e-15,0.0003124186,1.4785,-2.811195e-17
90.0,0.3715809,524.6841,-1.502359e-15,0.0001937829,1.48393,-2.476775e-17
