,fpx,fpy,fpz,fvx,fvy,fvz
1.0,-1.617421,10.32466,-2.944944e-08,0.02059868,0.01634338,1.002685e-07
2.0,543.4972,-277.5523,-2.41465e-05,0.02528155,0.1264711,1.498907e-06
3.0,-295.1801,12931.24,-0.0001203146,0.1420254,0.1273279,5.868535e-08
4.0,-509.9589,19215.32,-0.0001822199,0.228685,0.1489247,5.455959e-08
5.0,852.9288,17846.69,-0.0001935961,0.2884758,0.1675908,3.578138e-08
6.0,1370.154,17888.04,-0.0002061207,0.3154422,0.1603574,5.685937e-08
7.0,1607.832,20515.13,-0.0001987838,0.3605801,0.1646053,6.199899e-08
8.0,1794.826,21741.85,-0.0001730871,0.3854721,0.1648926,7.005321e-08
9.0,1584.656,25083.01,-0.0001350877,0.4085626,0.1683746,7.514429e-08
10.0,1654.093,25959.64,-8.279777e-05,0.4242789,0.1694616,8.308553e-08
11.0,1564.128,27256.32,-2.316762e-05,0.4328637,0.1683011,8.639887e-08
12.0,1518.724,28108.9,3.380288e-05,0.4411962,0.1699841,9.493621e-08
13.0,1453.241,28721.82,8.522741e-05,0.440932,0.1686876,1.005619e-07
14.0,1370.342,29265.0,0.0001291824,0.4395105,0.1697357,1.05902e-07
15.0,1251.846,29804.61,0.0001647748,0.4315287,0.169565,1.101586e-07
16.0,1125.887,30277.06,0.0001918311,0.4219503,0.170549,1.150289e-07
17.0,1009.611,30606.59,0.0002110603,0.4021014,0.1706888,1.219198e-07
18.0,885.3788,30907.01,0.0002224272,0.3821499,0.1740303,1.28132e-07
19.0,800.2832,30920.0,0.0002278262,0.3609317,0.1784019,1.355643e-07
20.0,753.1599,30701.3,0.0002292427,0.3339513,0.1821703,1.434092e-07
21.0,766.6413,30180.55,0.0002281996,0.3112092,0.1909272,1.52265e-07
22.0,841.368,29450.35,0.0002246862,0.2892978,0.2031524,1.62078e-07
23.0,1020.671,28289.21,0.000219249,0.2713153,0.2204221,1.732147e-07
24.0,1264.59,26979.57,0.0002121626,0.2567665,0.2374528,1.843534e-07
25.0,1532.664,25769.92,0.0002036,0.2540081,0.2588423,1.958931e-07
26.0,1718.051,25059.5,0.0001956298,0.2492014,0.2780156,2.06012e-07
27.0,1860.869,24737.98,0.000188551,0.2637109,0.3052321,2.169626e-07
28.0,1879.421,25204.5,0.0001817918,0.2823927,0.3402321,2.280187e-07
29.0,1865.526,25989.23,0.0001766716,0.3151772,0.3870441,2.390965e-07
30.0,1839.189,26815.97,0.0001732425,0.3499488,0.4460201,2.502726e-07
31.0,1874.768,27317.98,0.0001733318,0.39911,0.508212,2.605299e-07
32.0,1942.998,27688.72,0.0001764468,0.4710501,0.5802563,2.706032e-07
33.0,2029.393,27922.48,0.0001813327,0.5598009,0.6587433,2.816283e-07
34.0,2175.337,27739.57,0.000188624,0.6802094,0.7261895,2.926484e-07
35.0,2388.807,26947.27,0.0001984627,0.8267565,0.7747965,3.042929e-07
36.0,2546.781,26394.53,0.0002091642,1.006654,0.8070328,3.164963e-07
37.0,2653.478,26049.02,0.0002203451,1.218021,0.8445996,3.316692e-07
38.0,2733.192,25810.43,0.0002316281,1.460404,0.8914557,3.520724e-07
39.0,2789.717,25682.34,0.0002424528,1.728493,0.9593984,3.793301e-07
40.0,2832.485,25588.46,0.0002529459,2.023285,1.044398,4.140661e-07
41.0,2857.182,25535.54,0.0002628084,2.339252,1.139919,4.57069e-07
42.0,2872.193,25496.23,0.0002725856,2.684076,1.247808,5.056875e-07
43.0,2852.235,25529.62,0.0002818985,3.028482,1.367665,5.614191e-07
44.0,2796.705,25699.99,0.0002907137,3.374432,1.483695,6.230563e-07
45.0,2724.94,25948.3,0.0002986479,3.726139,1.597713,6.909508e-07
46.0,2677.331,26143.06,0.0003049369,4.079353,1.719912,7.66814e-07
47.0,2717.8,26052.93,0.0003086643,4.449001,1.854634,8.555306e-07
48.0,2785.975,25863.37,0.0003102579,4.806578,1.989375,9.460023e-07
49.0,2915.968,25512.82,0.0003099179,5.186316,2.132434,1.041957e-06
50.0,3041.773,25177.76,0.0003086359,5.559311,2.272941,1.133817e-06
51.0,3171.627,24815.88,0.0003077731,5.952026,2.410155,1.222027e-06
52.0,3245.287,24688.51,0.0003076796,6.355285,2.545699,1.303522e-06
53.0,3275.172,24773.17,0.000308732,6.794252,2.682761,1.383163e-06
54.0,3272.126,24982.27,0.0003108178,7.265249,2.82772,1.462662e-06
55.0,3249.425,25240.87,0.0003139816,7.780281,2.978152,1.541841e-06
56.0,3213.389,25483.88,0.000318189,8.33384,3.137047,1.621101e-06
57.0,3164.716,25715.0,0.0003232342,8.92945,3.304751,1.701787e-06
58.0,3113.676,25889.5,0.0003288669,9.562776,3.486726,1.788431e-06
59.0,3064.144,26006.47,0.0003346295,10.22606,3.682252,1.884361e-06
60.0,3014.568,26086.56,0.0003401538,10.9133,3.892618,1.991339e-06
61.0,2967.71,26113.36,0.0003454313,11.60927,4.114631,2.110853e-06
62.0,2926.577,26064.99,0.0003506003,12.30544,4.341395,2.243854e-06
63.0,2884.677,25986.69,0.0003555932,12.97995,4.567245,2.390265e-06
64.0,2832.919,25952.7,0.0003600664,13.62347,4.787202,2.551205e-06
65.0,2771.658,25983.35,0.000363681,14.22806,5.002229,2.727771e-06
66.0,2719.555,26021.75,0.0003660997,14.78985,5.21118,2.924498e-06
67.0,2703.073,25977.9,0.000366809,15.31913,5.42597,3.147928e-06
68.0,2797.557,25525.73,0.0003656222,15.8319,5.656724,3.424565e-06
69.0,2839.022,25387.58,0.0003625171,16.26227,5.837491,3.623945e-06
70.0,2959.273,25019.61,0.0003583919,16.67112,6.025765,3.887779e-06
71.0,3108.306,24440.17,0.0003542796,17.01127,6.185211,4.104321e-06
72.0,3186.904,24259.22,0.0003502748,17.27081,6.307008,4.247605e-06
73.0,3257.469,24149.74,0.0003468363,17.47328,6.411066,4.414438e-06
74.0,3248.587,24378.44,0.000344138,17.58443,6.47347,4.503719e-06
75.0,3189.235,24869.4,0.0003428102,17.63221,6.515226,4.585875e-06
76.0,3108.507,25407.06,0.0003428467,17.61312,6.537428,4.66746e-06
