,fpx,fpy,fpz,fvx,fvy,fvz
76.0,195.7452,1573.724,2.14351e-05,1.397668,0.5341367,4.061031e-07
77.0,190.3021,1608.378,2.14657e-05,1.385265,0.531931,4.079352e-07
78.0,185.7,1634.566,2.155625e-05,1.369385,0.5283066,4.099839e-07
79.0,182.2466,1651.129,2.169697e-05,1.350528,0.5234615,4.114426e-07
80.0,179.2737,1661.53,2.187108e-05,1.328946,0.5173598,4.11181e-07
81.0,176.5888,1667.79,2.206502e-05,1.305192,0.5102777,4.098878e-07
82.0,174.1057,1670.947,2.226425e-05,1.279888,0.5024593,4.077444e-07
83.0,171.9735,1670.206,2.246516e-05,1.253427,0.4939194,4.04864e-07
84.0,170.4816,1663.886,2.267178e-05,1.226263,0.4847349,4.013831e-07
85.0,169.3376,1654.234,2.287637e-05,1.198924,0.4751252,3.96921e-07
86.0,167.9671,1644.87,2.306624e-05,1.171732,0.4652087,3.912065e-07
87.0,165.4237,1640.863,2.323271e-05,1.14469,0.4548826,3.835228e-07
88.0,161.2903,1644.353,2.338032e-05,1.117839,0.4442031,3.743747e-07
89.0,156.1329,1653.432,2.350547e-05,1.091568,0.4337117,3.656871e-07
90.0,150.6932,1664.994,2.35919e-05,1.0662,0.4237848,3.581787e-07
91.0,146.0767,1674.927,2.362402e-05,1.042013,0.4147458,3.528171e-07
92.0,143.3288,1679.419,2.358369e-05,1.019369,0.4068755,3.499323e-07
93.0,144.5255,1670.683,2.345353e-05,0.9990143,0.4008349,3.516021e-07
94.0,146.3843,1663.698,2.32328e-05,0.9799045,0.3950241,3.478702e-07
95.0,150.1052,1652.428,2.29521e-05,0.9617386,0.3893774,3.442646e-07
96.0,154.1452,1642.764,2.263784e-05,0.9439579,0.383725,3.375527e-07
97.0,158.0734,1634.879,2.232991e-05,0.9259477,0.3777373,3.296687e-07
98.0,161.7327,1630.629,2.203977e-05,0.9076071,0.3718689,3.22084e-07
99.0,163.9517,1633.971,2.177201e-05,0.8881224,0.3656355,3.134942e-07
100.0,164.0625,1649.11,2.153881e-05,0.8671801,0.3589745,3.046483e-07
101.0,162.9794,1670.322,2.135706e-05,0.844539,0.3519259,2.970704e-07
102.0,161.9718,1688.853,2.124904e-05,0.8195613,0.3441165,2.907869e-07
103.0,161.3499,1701.416,2.122582e-05,0.791269,0.3350635,2.848357e-07
104.0,161.057,1709.171,2.127439e-05,0.7587935,0.3245368,2.792362e-07
105.0,161.0255,1712.09,2.13796e-05,0.7217766,0.3122222,2.736212e-07
106.0,160.9911,1711.584,2.15302e-05,0.6801654,0.2977666,2.673389e-07
107.0,160.9868,1707.554,2.171936e-05,0.6343717,0.2810455,2.601097e-07
108.0,161.4183,1698.267,2.193867e-05,0.5853122,0.2622311,2.518228e-07
109.0,162.2574,1684.088,2.217634e-05,0.5342479,0.2416355,2.416525e-07
110.0,162.7935,1669.133,2.241915e-05,0.4826751,0.2197346,2.286469e-07
111.0,162.5211,1656.794,2.265689e-05,0.4322368,0.1972604,2.129126e-07
112.0,161.2991,1648.468,2.287851e-05,0.3845009,0.1750572,1.950534e-07
113.0,159.2356,1644.049,2.307546e-05,0.3407637,0.1539022,1.758072e-07
114.0,156.5558,1642.102,2.325256e-05,0.3019303,0.134388,1.55858e-07
115.0,153.0246,1643.267,2.341063e-05,0.2684342,0.116942,1.357017e-07
116.0,148.3689,1649.878,2.354434e-05,0.2404306,0.1018755,1.162806e-07
117.0,142.503,1662.97,2.364314e-05,0.217743,0.08933507,9.843192e-08
118.0,135.9666,1680.106,2.370428e-05,0.1999483,0.07926832,8.293125e-08
119.0,129.4056,1698.427,2.372565e-05,0.1864557,0.07148993,7.000997e-08
120.0,123.9882,1713.775,2.369156e-05,0.17664,0.06578984,5.99213e-08
121.0,120.621,1723.714,2.357816e-05,0.16985,0.06187195,5.233088e-08
122.0,121.1002,1722.911,2.335873e-05,0.1655568,0.05948365,4.71541e-08
123.0,121.6285,1723.394,2.305971e-05,0.1627394,0.05783801,4.256622e-08
124.0,123.5082,1724.252,2.272746e-05,0.1612264,0.05691703,3.963156e-08
125.0,125.2108,1727.597,2.237353e-05,0.1604034,0.05638589,3.753271e-08
126.0,127.5002,1731.766,2.202827e-05,0.1601193,0.05617385,3.630403e-08
127.0,129.3862,1740.419,2.168286e-05,0.160116,0.05614554,3.553745e-08
128.0,130.9404,1751.9,2.136412e-05,0.1602506,0.05617837,3.507259e-08
129.0,132.5431,1762.361,2.110383e-05,0.1604327,0.0562162,3.478802e-08
130.0,135.0496,1766.609,2.092519e-05,0.160655,0.05626387,3.466234e-08
131.0,137.5335,1768.058,2.082472e-05,0.1608347,0.05626099,3.453064e-08
132.0,140.0376,1766.204,2.080853e-05,0.1609609,0.05621386,3.441685e-08
133.0,142.7527,1759.817,2.086826e-05,0.1610318,0.05614161,3.434489e-08
134.0,145.6858,1748.885,2.098862e-05,0.1610374,0.05605806,3.429632e-08
135.0,148.5738,1735.097,2.115564e-05,0.1609845,0.05596069,3.423668e-08
136.0,150.8945,1721.013,2.135746e-05,0.1608544,0.05582744,3.413096e-08
137.0,152.5106,1707.961,2.158475e-05,0.1606725,0.05567278,3.400816e-08
138.0,153.5789,1695.391,2.182628e-05,0.1604528,0.05551441,3.389565e-08
139.0,154.0405,1683.777,2.207235e-05,0.1601964,0.05534765,3.377261e-08
140.0,153.653,1674.51,2.231657e-05,0.1598994,0.05516077,3.361728e-08
141.0,152.4721,1667.224,2.256329e-05,0.1595796,0.05495155,3.343661e-08
142.0,150.7241,1661.021,2.280621e-05,0.1592347,0.05474529,3.326867e-08
143.0,148.4233,1656.69,2.302943e-05,0.1588869,0.0545452,3.311891e-08
144.0,145.2419,1656.208,2.321985e-05,0.1585186,0.05434218,3.294792e-08
145.0,141.2461,1659.513,2.337833e-05,0.1581372,0.05413582,3.276718e-08
146.0,136.2525,1668.076,2.350058e-05,0.1577521,0.05393663,3.25695e-08
147.0,130.2654,1682.518,2.358027e-05,0.1573765,0.05375257,3.23786e-08
148.0,123.8126,1699.939,2.36214e-05,0.1570117,0.05358169,3.222507e-08
149.0,117.2248,1719.227,2.362071e-05,0.1566745,0.05344109,3.211476e-08
150.0,109.4663,1749.245,2.353861e-05,0.1564368,0.05339788,3.201137e-08
151.0,106.2448,1758.372,2.342373e-05,0.1563614,0.0535118,3.240453e-08
152.0,105.3333,1762.032,2.321541e-05,0.1564927,0.05376201,3.278828e-08
153.0,105.0238,1765.961,2.29371e-05,0.1566303,0.05397872,3.298214e-08
154.0,104.7014,1775.584,2.261813e-05,0.1568897,0.05419276,3.311154e-08
155.0,105.5269,1783.443,2.227887e-05,0.1572676,0.05445375,3.334712e-08
156.0,107.0084,1790.568,2.19304e-05,0.1576696,0.05471522,3.353928e-08
157.0,109.3162,1796.577,2.158838e-05,0.1581295,0.05498696,3.374524e-08
158.0,111.9666,1801.722,2.126812e-05,0.1585593,0.05522042,3.388618e-08
159.0,115.2603,1803.795,2.099617e-05,0.1589637,0.05541864,3.400925e-08
160.0,118.9826,1802.607,2.078584e-05,0.1593155,0.05556773,3.408746e-08
161.0,122.9511,1798.727,2.064359e-05,0.1596208,0.05567049,3.413439e-08
162.0,127.1545,1791.666,2.056995e-05,0.1598756,0.05573628,3.416981e-08
163.0,131.5012,1780.802,2.056844e-05,0.1600537,0.05574651,3.417141e-08
164.0,136.1542,1765.266,2.063782e-05,0.1601748,0.05572794,3.417109e-08
165.0,140.6295,1747.26,2.076407e-05,0.1602175,0.05567706,3.413481e-08
166.0,148.1483,1705.074,2.100561e-05,0.1601117,0.0555245,3.421105e-08
167.0,148.5569,1703.869,2.118885e-05,0.1600215,0.0553884,3.377561e-08
168.0,147.9204,1704.55,2.139859e-05,0.1598393,0.05526757,3.362133e-08
169.0,147.8167,1700.656,2.162712e-05,0.1596693,0.05513582,3.359206e-08
170.0,146.9646,1696.452,2.186767e-05,0.1594017,0.05493068,3.342412e-08
171.0,145.5984,1692.314,2.212315e-05,0.1590954,0.0547073,3.324974e-08
172.0,143.4526,1689.808,2.237788e-05,0.1587469,0.05448895,3.306255e-08
173.0,140.6861,1689.084,2.261777e-05,0.1583802,0.05428381,3.289689e-08
174.0,137.6749,1688.506,2.283743e-05,0.1580182,0.05409152,3.275946e-08
175.0,134.4425,1688.336,2.302936e-05,0.1576618,0.05391212,3.262977e-08
176.0,130.651,1690.828,2.318607e-05,0.1573095,0.05373438,3.247815e-08
177.0,126.0581,1697.747,2.330403e-05,0.1569664,0.0535593,3.230729e-08
178.0,120.5886,1709.852,2.338049e-05,0.1566321,0.05339159,3.2132e-08
179.0,114.7535,1724.492,2.341995e-05,0.1563117,0.05323908,3.199586e-08
180.0,107.8873,1746.781,2.340479e-05,0.1560344,0.05312542,3.184044e-08
181.0,103.5292,1758.227,2.335375e-05,0.1558636,0.05312897,3.202112e-08
182.0,98.17795,1779.839,2.320521e-05,0.1557793,0.053186,3.202472e-08
183.0,97.02713,1784.029,2.302475e-05,0.1558893,0.05340034,3.246597e-08
184.0,97.38559,1784.674,2.27713e-05,0.156089,0.05364492,3.277826e-08
